Laiks,Pulss_BPM,RR_Intervali_ms,Stavoklis
20:40:15,80,[773],MIERS
20:40:16,79,[792],MIERS
20:40:17,78,[812],MIERS
20:40:18,77,"[835, 812]",MIERS
20:40:19,76,[819],MIERS
20:40:20,76,[843],MIERS
20:40:21,75,[847],ZEMS
20:40:22,75,[812],ZEMS
20:40:23,75,"[815, 816]",ZEMS
20:40:24,75,[804],ZEMS
20:40:25,74,[784],ZEMS
20:40:26,74,[796],ZEMS
20:40:27,74,"[835, 854]",ZEMS
20:40:28,74,[832],ZEMS
20:40:29,76,[820],MIERS
20:40:30,76,[791],MIERS
20:40:31,77,"[753, 738]",MIERS
20:40:32,79,[733],MIERS
20:40:33,80,[718],MIERS
20:40:34,80,"[695, 699]",MIERS
20:40:35,80,[717],MIERS
20:40:37,79,"[738, 757]",MIERS
20:40:37,79,[776],MIERS
20:40:38,78,[769],MIERS
20:40:39,78,[761],MIERS
20:40:40,78,"[791, 789]",MIERS
20:40:41,77,[769],MIERS
20:40:42,77,[768],MIERS
20:40:43,76,"[792, 828]",MIERS
20:40:44,76,[834],MIERS
20:40:45,75,[816],ZEMS
20:40:46,75,[824],ZEMS
20:40:47,76,[835],MIERS
20:40:48,76,"[819, 781]",MIERS
20:40:49,77,[753],MIERS
20:40:50,77,[760],MIERS
20:40:51,77,"[765, 773]",MIERS
20:40:52,76,[776],MIERS
20:40:53,75,[792],ZEMS
20:40:54,75,[839],ZEMS
20:40:55,75,"[815, 808]",ZEMS
20:40:56,75,[828],ZEMS
20:40:57,76,[824],MIERS
20:40:58,77,[781],MIERS
20:40:59,78,"[761, 749]",MIERS
20:41:00,79,[722],MIERS
20:41:01,79,[710],MIERS
20:41:02,78,"[699, 741]",MIERS
20:41:03,77,[796],MIERS
20:41:04,75,[816],ZEMS
20:41:05,75,[832],ZEMS
20:41:06,75,"[855, 867]",ZEMS
20:41:07,75,[831],ZEMS
20:41:08,75,[785],ZEMS
20:41:09,75,[781],ZEMS
20:41:10,75,"[791, 808]",ZEMS
20:41:11,74,[804],ZEMS
20:41:12,73,[834],ZEMS
20:41:13,73,[898],ZEMS
20:41:14,74,[902],ZEMS
20:41:15,76,[838],MIERS
20:41:16,77,"[792, 757]",MIERS
20:41:17,76,"[265, 459]",MIERS
20:41:18,76,[734],MIERS
20:41:19,75,"[761, 812]",ZEMS
20:41:20,75,[847],ZEMS
20:41:21,74,[832],ZEMS
20:41:22,76,[850],MIERS
20:41:23,75,[847],ZEMS
20:41:24,75,"[839, 355, 460]",ZEMS
20:41:25,75,[823],ZEMS
20:41:26,75,[824],ZEMS
20:41:27,74,[832],ZEMS
20:41:28,73,[823],ZEMS
20:41:29,73,"[835, 859]",ZEMS
20:41:30,73,[858],ZEMS
20:41:31,73,[824],ZEMS
20:41:32,73,[816],ZEMS
20:41:33,72,[823],ZEMS
20:41:34,76,"[824, 828]",MIERS
20:41:35,75,[878],ZEMS
20:41:36,74,"[324, 621]",ZEMS
20:41:37,73,[932],ZEMS
20:41:38,72,[906],ZEMS
20:41:39,72,[898],ZEMS
20:41:40,72,[875],ZEMS
20:41:41,72,"[824, 832]",ZEMS
20:41:42,72,[846],ZEMS
20:41:43,72,[859],ZEMS
20:41:44,71,[839],ZEMS
20:41:45,71,[855],ZEMS
20:41:46,71,[878],ZEMS
20:41:47,71,"[855, 838]",ZEMS
20:41:48,72,[843],ZEMS
20:41:49,72,[835],ZEMS
20:41:50,71,[795],ZEMS
20:41:51,71,[800],ZEMS
20:41:52,70,"[828, 905]",ZEMS
20:41:53,69,[914],ZEMS
20:41:54,69,[910],ZEMS
20:41:55,69,[928],ZEMS
20:41:56,70,[921],ZEMS
20:41:57,71,[839],ZEMS
20:41:58,71,[799],ZEMS
20:41:59,70,"[796, 812]",ZEMS
20:42:00,69,[874],ZEMS
20:42:02,68,[933],ZEMS
20:42:02,67,[1002],ZEMS
20:42:03,67,[1003],ZEMS
20:42:04,67,[945],ZEMS
20:42:05,67,[936],ZEMS
20:42:06,67,[894],ZEMS
20:42:07,68,[871],ZEMS
20:42:08,68,[854],ZEMS
20:42:09,68,"[851, 863]",ZEMS
20:42:10,68,[866],ZEMS
20:42:11,68,[863],ZEMS
20:42:12,68,[894],ZEMS
20:42:13,70,[897],ZEMS
20:42:14,70,[835],ZEMS
20:42:15,70,"[811, 808]",ZEMS
20:42:16,71,[832],ZEMS
20:42:17,71,[832],ZEMS
20:42:18,70,[819],ZEMS
20:42:19,70,[851],ZEMS
20:42:20,70,"[871, 877]",ZEMS
20:42:21,70,[859],ZEMS
20:42:22,70,[834],ZEMS
20:42:23,70,[843],ZEMS
20:42:24,70,[863],ZEMS
20:42:25,70,[854],ZEMS
20:42:26,70,"[843, 859]",ZEMS
20:42:27,70,[877],ZEMS
20:42:28,70,[886],ZEMS
20:42:29,69,[863],ZEMS
20:42:30,69,[870],ZEMS
20:42:31,69,[890],ZEMS
20:42:32,69,[898],ZEMS
20:42:33,69,"[877, 867]",ZEMS
20:42:34,69,[863],ZEMS
20:42:35,70,[858],ZEMS
20:42:36,70,[843],ZEMS
20:42:37,71,[820],ZEMS
20:42:38,71,[831],ZEMS
20:42:39,71,"[838, 808]",ZEMS
20:42:40,70,[819],ZEMS
20:42:41,70,[863],ZEMS
20:42:42,70,[917],ZEMS
20:42:43,70,[897],ZEMS
20:42:44,70,[871],ZEMS
20:42:45,71,"[875, 843]",ZEMS
20:42:46,71,[812],ZEMS
20:42:47,72,[792],ZEMS
20:42:48,72,[799],ZEMS
20:42:49,73,"[808, 812]",ZEMS
20:42:50,72,[799],ZEMS
20:42:51,72,[804],ZEMS
20:42:52,72,[843],ZEMS
20:42:53,72,[862],ZEMS
20:42:54,72,"[855, 832]",ZEMS
20:42:56,72,[815],ZEMS
20:42:56,72,[820],ZEMS
20:42:57,72,[812],ZEMS
20:42:58,72,[838],ZEMS
20:42:59,72,"[851, 875]",ZEMS
20:43:00,72,[847],ZEMS
20:43:01,72,[839],ZEMS
20:43:02,73,[835],ZEMS
20:43:03,74,[799],ZEMS
20:43:04,74,"[769, 769]",ZEMS
20:52:31,79,[],0,74
20:52:32,79,[],0,74
20:52:33,79,[785],0,74
20:52:34,79,[791],0,74
20:52:35,79,"[746, 234]",512.0,74
20:52:36,79,[367],0,74
20:52:37,79,[],0,74
20:52:38,79,[],0,74
20:52:39,79,[],0,74
20:52:40,79,[],0,74
20:52:41,79,[683],0,74
20:52:42,88,[686],0,83
20:52:43,89,"[687, 679]",8.0,84
20:52:44,89,[670],0,84
20:52:45,88,"[660, 656]",4.0,83
20:52:46,89,[667],0,84
20:52:47,88,"[682, 703]",21.0,83
20:52:49,88,[351],0,83
20:52:49,88,[1780],0,83
20:52:50,88,[],0,83
20:52:51,88,[],0,83
20:52:52,87,[],0,82
20:52:53,86,[],0,81
20:52:54,87,[756],0,82
20:52:55,86,[769],0,81
20:52:57,87,"[777, 582]",195.0,82
20:52:57,88,[795],0,83
20:52:58,88,[464],0,83
20:52:59,88,"[1093, 252, 601]",643.8485846843184,83
20:53:00,87,[226],0,82
20:53:02,87,[],0,82
20:53:03,87,"[1889, 226]",1663.0,82
20:53:04,87,[],0,82
20:53:05,86,[2432],0,81
20:53:06,86,[699],0,81
20:53:07,85,"[703, 721]",18.0,80
20:53:07,84,[746],0,79
20:53:08,83,[773],0,78
20:53:09,83,"[746, 756]",10.0,78
20:53:10,81,[769],0,76
20:53:11,79,[742],0,74
20:53:12,78,[846],0,73
20:53:13,78,"[824, 835]",11.0,73
20:53:14,78,[807],0,73
20:53:15,77,[789],0,72
20:53:16,77,[804],0,72
20:53:17,77,"[811, 804]",7.0,72
20:53:18,78,[789],0,73
20:53:19,78,[764],0,73
20:53:20,78,"[746, 757]",11.0,73
20:53:21,78,[761],0,73
20:53:22,79,[760],0,74
20:53:23,80,[765],0,75
20:53:24,83,"[750, 721]",29.0,78
20:53:25,83,"[718, 382]",336.0,78
20:53:26,83,"[257, 644]",387.0,78
20:53:27,81,[725],0,76
20:53:28,83,"[992, 281]",711.0,78
20:53:29,83,[909],0,78
20:53:30,83,"[468, 515]",47.0,78
20:53:31,83,[],0,78
20:53:32,83,[],0,78
20:53:33,83,[],0,78
20:53:34,83,[],0,78
20:53:35,83,[730],0,78
20:53:36,82,"[722, 721]",1.0,77
20:53:37,82,[730],0,77
20:53:38,83,[753],0,78
20:53:39,84,"[679, 764]",85.0,79
20:53:40,84,[703],0,79
20:53:42,83,"[699, 682]",17.0,78
20:53:43,82,[699],0,77
20:53:44,80,[773],0,75
20:53:44,78,[847],0,73
20:53:45,78,[858],0,73
20:53:46,77,"[839, 839]",0.0,72
20:53:47,78,[815],0,73
20:53:48,78,[781],0,73
20:53:50,79,"[757, 756]",1.0,74
20:53:51,81,[746],0,76
